ID	A_ID	Author_Initials	Title	City	Printed_in	Year	Author_full_name	Author_birth	Author_death	RP_biography
COL_209	NA	NA	Старичок-весельчак, рассказывающий давние Московские были	М.	Евреинова	1837	NA	NA	NA	NA
COL_214	A-59	Орлов А.А.	Померцающая луна или покорения Брамлова. Героическая песнь	М.	Кирилова	1837	Орлов Александр Анфимович	1790	1840	4-446
COL_221	NA	NA	Минерва, на 1837 год. Альманах, изд. К. Инвалидовым	М.	Кирилова	1837	NA	NA	NA	NA
COL_60	A-60	Аладьина Е.В.	Сочинения Е.В.А…	СПб.	Вингебера	1838	Аладьина Елизавета Васильевна	1810	после 1867	1-43
COL_61	A-18	Бенедиктов В.Г.	Стихотворения В. Бенедиктова. Кн. 2.	СПб.	Иверина	1838	Бенедиктов Владимир Григорьевич	1807	1873	1-233
COL_62	A-61	Бестужев А.А. (Марлинский)	Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е	СПб.	III Отд. собств. Е.И.В. канц.	1838	Бестужев Александр Александрович	1797	1837	1-253
COL_63	A-62	Бобылев Н.И.	Невский альбом: Опыты в стихах и прозе	СПб.	Военн.	1838	Бобылев Николай Иванович	1819	1865	1-294
COL_64	A-63	Вердеревский А.	Стихотворения Александра Вердеревского	М.	Степанова	1838	Вердеревский Александр	NA	NA	1-421
COL_65	A-64	Веронов	Стихотворения Веронова	СПб.	Сахарова	1838	Баласогло Александр Пантелеймонович	1813	1893	1-145
COL_66	A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1839 год	СПб.	Фишера	1838	Владиславлев Владимир Андреевич	1806	1856	1-450
COL_67	A-66	Демидов М.А.	Разные разности. Стихотворения М. Демидова	М.	А. Семена	1838	Демидов Михаил Александрович	1817	1841	2-105
COL_68	A-67	Доброхотов Ф.	Взгляд на поэзию Феофила Доброхотова	М.	А. Семена	1838	Доброхотов Феофил	NA	NA	NA
COL_69	A-68	Долгоруков А.В.	Поэзия Алексея Москвитянина	М.	А. Семена	1838	Долгоруков Алексей Владимирович	1813	после 1869	2-147
COL_70	A-69	Карелин И.М.	Весенние мечты: Стихотворения Ильи Карелина	М.	Селивановского	1838	Карелин Илья Марьянович	1823	NA	2-483
